,感染者数,回復者数,死亡者数
09/01,"69,101","58,386","1,313"
09/02,"69,691","59,458","1,326"
09/03,"70,346","60,348","1,334"
09/04,"70,932","61,255","1,351"
09/05,"71,530","61,975","1,360"
09/06,"71,981","62,399","1,368"
09/07,"72,289","63,269","1,379"
09/08,"72,779","64,050","1,397"
09/09,"73,287","64,749","1,411"
09/10,"73,998","65,490","1,418"
09/11,"74,640","66,442","1,427"
09/12,"75,286","66,791","1,440"
09/13,"75,725","67,152","1,446"
09/14,"75,991","67,684","1,453"
09/15,"76,522","68,459","1,466"
09/16,"77,073","69,145","1,479"
09/17,"77,562","69,750","1,488"
09/18,"78,134","70,386","1,498"
09/19,"78,729","70,876","1,502"
09/20,"79,209","71,265","1,506"
09/21,"79,520","71,567","1,513"
09/22,"79,850","71,949","1,518"
09/23,"80,069","72,441","1,524"
09/24,"80,551","73,431","1,536"
09/25,"81,124","74,118","1,543"
09/26,"81,763","74,502","1,546"
09/27,"82,248","75,000","1,549"
09/28,"82,549","75,446","1,560"
09/29,"83,076","76,012","1,567"
09/30,"83,652","76,506","1,574"
10/01,"84,285","77,140","1,582"
10/02,"84,827","77,764","1,592"
10/03,"85,401","78,272","1,598"
10/04,"85,801","78,525","1,599"
10/05,"86,080","79,055","1,603"
10/06,"86,580","79,716","1,610"
10/07,"87,085","80,189","1,615"
10/08,"87,711","80,702","1,618"
10/09,"88,312","81,296","1,624"
10/10,"88,990","81,799","1,627"
10/11,"89,426","82,126","1,629"
10/12,"89,704","82,617","1,633"
10/13,"90,201","83,116","1,637"
10/14,"90,752","83,765","1,646"
10/15,"91,460","84,376","1,649"
10/16,"92,099","84,950","1,664"
10/17,"92,722","85,430","1,670"
10/18,"93,153","85,848","1,674"
10/19,"93,469","86,472","1,676"
10/20,"93,950","87,032","1,679"
10/21,"94,564","87,560","1,686"
10/22,"95,180","88,197","1,697"
10/23,"95,925","88,792","1,709"
10/24,"96,651","89,211","1,713"
10/25,"97,144","89,665","1,719"
10/26,"97,554","90,107","1,727"
10/27,"98,199","90,763","1,732"
10/28,"98,929","91,237","1,737"
10/29,"99,737","91,830","1,747"
10/30,"100,512","92,438","1,755"
10/31,"101,388","92,929","1,769"
11/01,"102,001","93,329","1,775"
11/02,"102,488","93,974","1,787"
11/03,"103,353","94,426","1,794"
